Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Color,Shape
Kaner. El-Kady,Scalable fabrication of high-power graphene micro-supercapacitors for flexible and on-chip energy storage,2013,Li thin film Battery. commercial ,cm^2,cm,cm^3,g,W,Wh,0.75,s
,,,,0,0,1,0,0.001502708,0.007822027,,
,,,,,,,,0.002103464,0.00676894,,
,,,,,,,,0.002494677,0.005961252,,
,,,,,,,,0.003073519,0.004855405,,
,,,,,,,,0.003485448,0.003990053,,
,,,,,,,,0.00407482,0.002804978,,
,,,,,,,,0.00496956,0.00106055,,
,,,,,,,,0.005481727,0.000387118,,
