Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Color,Shape,,Density,Mass Loading,Notes
Lisa Wang. El-Kady. Kaner,Flash Converted Graphene for Ultra-High Power Supercapacitors ,2015,Flash converted graphene (Pre),cm^2,cm,cm^3,mg,W,Wh,orange,s,,mg/cm^3,mg/cm^2,Normalized by electrode active material mass
,,,,1.767145868,0.008974359,0.015859001,0.618501054,0.309,0.00000433,,,,39,0.35,order of operations
,,,,,,,,,,,,,,,area (given)
,,,,,,,,,,,,,,,mass loading (given)
,,,,,,,,,,,,,,,mass (calculated)
,,,,,,,,,,,,,,,density (given)
,,,,,,,,,,,,,,,volume (calculated)
,,,,,,,,,,,,,,,W (calculated for single unit)
,,,,,,,,,,,,,,,Wh (calculated for single unit)
