Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Color,Shape,Notes
Tesla,https://www.teslamotors.com/powerwall,2015,Tesla Powerwall. 6.4 kWh Model,in^2,in,in^3,kg,kW,kWh,0.75,*,power and energy quantities taken from marketing
,,,,0,0,12323.328,100,3.3,6.4,,,volume and mass includes packaging
,,,,,,,,,,,,Enclosure Area: 1735.7 in^2
,,,,,,,,,,,,Enclosure Thickness: 7.1 in
